gavin@Nitro-AN515-58-df85a443:~$ python3  ml.py --enc_width 32 --hidden 48 --layers 1 --epochs 200
Params: 17,098 (enc_width=32, hidden=48, layers=1)
Ep087 train=76.40% val=73.74% σ̂=840.301 hσ=840.3  mem=    18/  1909 MB  time= 85.4s
Ep088 train=76.69% val=73.95% σ̂=860.965 hσ=861.0  mem=    18/  1909 MB  time= 84.6s
Ep089 train=76.55% val=74.02% σ̂=849.428 hσ=849.4  mem=    18/  1909 MB  time= 85.6s
Ep090 train=75.66% val=72.97% σ̂=834.640 hσ=834.6  mem=    18/  1909 MB  time= 86.1s
Ep091 train=76.35% val=73.09% σ̂=861.210 hσ=861.2  mem=    18/  1909 MB  time= 84.4s
Ep092 train=76.45% val=74.16% σ̂=861.834 hσ=861.8  mem=    18/  1909 MB  time= 82.5s
Ep093 train=76.17% val=73.77% σ̂=869.908 hσ=869.9  mem=    18/  1909 MB  time= 82.3s
Ep094 train=76.42% val=72.95% σ̂=884.508 hσ=884.5  mem=    18/  1909 MB  time= 82.2s
Ep095 train=77.14% val=74.30% σ̂=831.247 hσ=831.2  mem=    18/  1909 MB  time= 82.0s
Ep096 train=76.62% val=73.86% σ̂=821.707 hσ=821.7  mem=    18/  1909 MB  time= 82.0s
Ep097 train=77.61% val=74.66% σ̂=867.235 hσ=867.2  mem=    18/  1909 MB  time= 82.1s
Ep098 train=77.05% val=74.28% σ̂=801.482 hσ=801.5  mem=    18/  1909 MB  time= 82.0s
Ep099 train=77.59% val=74.33% σ̂=875.375 hσ=875.4  mem=    18/  1909 MB  time= 82.0s
Ep100 train=77.51% val=74.92% σ̂=947.566 hσ=947.6  mem=    18/  1909 MB  time= 82.0s
Ep101 train=77.74% val=74.63% σ̂=781.716 hσ=781.7  mem=    18/  1909 MB  time= 82.0s
Ep102 train=77.39% val=74.74% σ̂=842.752 hσ=842.8  mem=    18/  1909 MB  time= 82.0s
Ep103 train=77.25% val=74.57% σ̂=852.690 hσ=852.7  mem=    18/  1909 MB  time= 82.0s
Ep104 train=77.94% val=75.04% σ̂=773.401 hσ=773.4  mem=    18/  1909 MB  time= 82.4s
Ep105 train=77.21% val=74.60% σ̂=863.027 hσ=863.0  mem=    18/  1909 MB  time= 82.1s
Ep106 train=77.33% val=74.24% σ̂=892.247 hσ=892.2  mem=    18/  1909 MB  time= 88.3s
Ep107 train=78.28% val=75.16% σ̂=775.347 hσ=775.3  mem=    18/  1909 MB  time= 82.0s
Ep108 train=78.11% val=74.64% σ̂=825.246 hσ=825.2  mem=    18/  1909 MB  time= 82.2s
Ep109 train=77.84% val=75.37% σ̂=817.264 hσ=817.3  mem=    18/  1909 MB  time= 82.3s
Ep110 train=77.62% val=73.95% σ̂=734.099 hσ=734.1  mem=    18/  1909 MB  time= 82.4s
Ep111 train=78.09% val=75.63% σ̂=800.796 hσ=800.8  mem=    18/  1909 MB  time= 82.4s
Ep112 train=77.42% val=75.09% σ̂=719.628 hσ=719.6  mem=    18/  1909 MB  time= 82.4s
Ep113 train=77.53% val=74.17% σ̂=822.150 hσ=822.1  mem=    18/  1909 MB  time= 82.5s
Ep114 train=77.88% val=75.10% σ̂=904.251 hσ=904.3  mem=    18/  1909 MB  time= 82.5s
Ep115 train=77.88% val=75.19% σ̂=727.671 hσ=727.7  mem=    18/  1909 MB  time= 83.6s
Ep116 train=78.58% val=75.51% σ̂=863.684 hσ=863.7  mem=    18/  1909 MB  time= 82.6s
Ep117 train=78.72% val=75.46% σ̂=826.391 hσ=826.4  mem=    18/  1909 MB  time= 82.9s
Ep118 train=78.09% val=74.92% σ̂=976.138 hσ=976.1  mem=    18/  1909 MB  time= 84.3s
Ep119 train=78.73% val=75.30% σ̂=729.218 hσ=729.2  mem=    18/  1909 MB  time= 85.4s
Ep120 train=78.96% val=75.75% σ̂=847.676 hσ=847.7  mem=    18/  1909 MB  time= 88.0s
Ep121 train=78.69% val=75.72% σ̂=774.889 hσ=774.9  mem=    18/  1909 MB  time= 87.2s
Ep122 train=78.54% val=76.04% σ̂=760.032 hσ=760.0  mem=    18/  1909 MB  time= 86.4s
Ep123 train=78.78% val=75.31% σ̂=809.828 hσ=809.8  mem=    18/  1909 MB  time= 82.4s
Ep124 train=78.38% val=75.02% σ̂=814.030 hσ=814.0  mem=    18/  1909 MB  time= 82.2s
